CITYMUN_CODE,CITY/MUN
30801000,ABUCAY
30802000,BAGAC
30803000,CITY OF BALANGA (Capital)
30804000,DINALUPIHAN
30805000,HERMOSA
30806000,LIMAY
30807000,MARIVELES
30808000,MORONG
30809000,ORANI
30810000,ORION
30811000,PILAR
30812000,SAMAL
31401000,ANGAT
31402000,BALAGTAS (BIGAA)
31403000,BALIUAG
31404000,BOCAUE
31405000,BULACAN
31406000,BUSTOS
31407000,CALUMPIT
31408000,GUIGUINTO
31409000,HAGONOY
31410000,CITY OF MALOLOS (Capital)
31411000,MARILAO
31412000,CITY OF MEYCAUAYAN
31413000,NORZAGARAY
31414000,OBANDO
31415000,PANDI
31416000,PAOMBONG
31417000,PLARIDEL
31418000,PULILAN
31419000,SAN ILDEFONSO
31420000,CITY OF SAN JOSE DEL MONTE
31421000,SAN MIGUEL
31422000,SAN RAFAEL
31423000,SANTA MARIA
31424000,DOÑA REMEDIOS TRINIDAD
34901000,ALIAGA
34902000,BONGABON
34903000,CABANATUAN CITY
34904000,CABIAO
34905000,CARRANGLAN
34906000,CUYAPO
34907000,GABALDON (BITULOK & SABANI)
34908000,CITY OF GAPAN
34909000,GENERAL MAMERTO NATIVIDAD
34910000,GENERAL TINIO (PAPAYA)
34911000,GUIMBA
34912000,JAEN
34913000,LAUR
34914000,LICAB
34915000,LLANERA
34916000,LUPAO
34917000,SCIENCE CITY OF MUÑOZ
34918000,NAMPICUAN
34919000,PALAYAN CITY (Capital)
34920000,PANTABANGAN
34921000,PEÑARANDA
34922000,QUEZON
34923000,RIZAL
34924000,SAN ANTONIO
34925000,SAN ISIDRO
34926000,SAN JOSE CITY
34927000,SAN LEONARDO
34928000,SANTA ROSA
34929000,SANTO DOMINGO
34930000,TALAVERA
34931000,TALUGTUG
34932000,ZARAGOZA
35401000,ANGELES CITY
35402000,APALIT
35403000,ARAYAT
35404000,BACOLOR
35405000,CANDABA
35406000,FLORIDABLANCA
35407000,GUAGUA
35408000,LUBAO
35409000,MABALACAT CITY
35410000,MACABEBE
35411000,MAGALANG
35412000,MASANTOL
35413000,MEXICO
35414000,MINALIN
35415000,PORAC
35416000,CITY OF SAN FERNANDO (Capital)
35417000,SAN LUIS
35418000,SAN SIMON
35419000,SANTA ANA
35420000,SANTA RITA
35421000,SANTO TOMAS
35422000,SASMUAN (Sexmoan)
36901000,ANAO
36902000,BAMBAN
36903000,CAMILING
36904000,CAPAS
36905000,CONCEPCION
36906000,GERONA
36907000,LA PAZ
36908000,MAYANTOC
36909000,MONCADA
36910000,PANIQUI
36911000,PURA
36912000,RAMOS
36913000,SAN CLEMENTE
36914000,SAN MANUEL
36915000,SANTA IGNACIA
36916000,CITY OF TARLAC (Capital)
36917000,VICTORIA
36918000,SAN JOSE
37101000,BOTOLAN
37102000,CABANGAN
37103000,CANDELARIA
37104000,CASTILLEJOS
37105000,IBA (Capital)
37106000,MASINLOC
37107000,OLONGAPO CITY
37108000,PALAUIG
37109000,SAN ANTONIO
37110000,SAN FELIPE
37111000,SAN MARCELINO
37112000,SAN NARCISO
37113000,SANTA CRUZ
37114000,SUBIC
37701000,BALER (Capital)
37702000,CASIGURAN
37703000,DILASAG
37704000,DINALUNGAN
37705000,DINGALAN
37706000,DIPACULAO
37707000,MARIA AURORA
37708000,SAN LUIS
,
Provinces,
BATAAN,
BULACAN,
NUEVA ECIJA,
PAMPANGA,
TARLAC,
ZAMBALES,
AURORA,
